Year  Month  Day  hour  Minute  Second  Bx  By  Bz 
2016 08 11 06 01 48.5 -5.282 3.746 -2.632 
2016 08 11 06 21 48.5 -1.574 6.567 -4.034 
2016 08 11 06 41 48.5 -3.689 7.344 -2.564 
2016 08 11 07 01 48.5 -6.548 8.333 1.480 
2016 08 11 07 21 48.5 -5.724 8.333 -1.386 
2016 08 11 07 41 48.5 -4.095 8.800 2.531 
2016 08 11 08 01 48.5 -4.585 7.554 2.798 
2016 08 11 08 21 48.5 -6.953 5.613 -1.813 
2016 08 11 08 41 48.5 -6.494 6.216 -2.023 
2016 08 11 09 01 48.5 -6.194 6.312 -3.457 
2016 08 11 09 21 48.5 -5.263 5.157 -6.059 
2016 08 11 09 41 48.5 -5.663 4.668 -2.766 
2016 08 11 10 01 48.5 -6.063 5.358 1.615 
2016 08 11 10 21 48.5 -6.639 5.369 1.562 
2016 08 11 10 41 48.5 -6.042 5.255 1.036 
2016 08 11 11 01 48.5 -5.777 1.490 -4.117 
2016 08 11 11 21 48.5 -5.664 1.148 -4.575 
2016 08 11 11 41 48.5 -5.413 -0.587 -7.085 
2016 08 11 12 01 48.5 2.574 3.588 6.464 
2016 08 11 12 21 48.5 0.761 5.446 5.976 
2016 08 11 12 41 48.5 3.442 5.065 5.421 
2016 08 11 13 01 48.5 3.212 6.018 5.049 
2016 08 11 13 21 48.5 3.465 6.779 5.426 
2016 08 11 13 41 48.5 3.372 7.679 5.400 
2016 08 11 14 01 48.5 3.686 7.406 3.924 
2016 08 11 14 21 48.5 3.720 8.609 4.218 
2016 08 11 14 41 48.5 3.914 8.500 3.061 
2016 08 11 15 01 48.5 3.704 9.570 3.138 
2016 08 11 15 21 48.5 3.494 10.190 2.741 
2016 08 11 15 41 48.5 4.005 10.098 1.707 
2016 08 11 16 01 48.5 4.868 10.823 1.420 
2016 08 11 16 21 48.5 4.680 11.247 0.892 
2016 08 11 16 41 48.5 4.022 11.909 0.572 
2016 08 11 17 01 48.5 5.202 11.315 -0.737 
2016 08 11 17 21 48.5 5.563 12.073 -0.927 
2016 08 11 17 41 48.5 5.388 12.314 -1.495 
2016 08 11 18 01 48.5 4.941 12.159 -2.330 
2016 08 11 18 21 48.5 4.988 12.598 -2.660 
2016 08 11 18 41 48.5 6.041 11.523 -4.113 
2016 08 11 19 01 48.5 4.745 11.056 -5.049 
2016 08 11 19 21 48.5 5.616 10.942 -6.012 
2016 08 11 19 41 48.5 5.324 10.596 -6.110 
2016 08 11 20 01 48.5 5.639 11.158 -6.739 
2016 08 11 20 21 48.5 5.374 10.794 -7.524 
2016 08 11 20 41 48.5 5.404 10.453 -7.077 
2016 08 11 21 01 48.5 5.533 10.108 -8.402 
2016 08 11 21 21 48.5 5.445 10.228 -8.688 
2016 08 11 21 41 48.5 5.430 8.840 -9.115 
2016 08 11 22 01 48.5 5.754 7.712 -10.502 
2016 08 11 22 21 48.5 5.193 8.260 -9.036 
2016 08 11 22 41 48.5 5.585 7.966 -10.130 
2016 08 11 23 01 48.5 5.669 6.837 -10.228 
2016 08 11 23 21 48.5 5.535 6.631 -11.202 
2016 08 11 23 41 48.5 5.749 6.167 -11.309 
2016 08 12 00 01 48.5 4.417 5.678 -11.539 
2016 08 12 00 21 48.5 4.762 5.297 -12.538 
2016 08 12 00 41 48.5 4.724 3.730 -11.168 
2016 08 12 01 01 48.5 4.715 2.798 -11.291 
2016 08 12 01 21 48.5 5.320 2.694 -10.980 
2016 08 12 01 41 48.5 5.160 2.257 -11.069 
2016 08 12 02 01 48.5 4.302 2.074 -10.586 
2016 08 12 02 21 48.5 4.491 1.080 -9.143 
2016 08 12 02 41 48.5 3.791 0.161 -10.070 
2016 08 12 03 01 48.5 3.377 -0.363 -9.668 
2016 08 12 03 21 48.5 5.167 -0.760 -9.319 
2016 08 12 03 41 48.5 3.236 -1.926 -9.510 
2016 08 12 04 01 48.5 3.642 -2.874 -9.945 
2016 08 12 04 21 48.5 4.666 -1.413 -7.522 
2016 08 12 04 41 48.5 2.783 -3.581 -7.687 
2016 08 12 05 01 48.5 2.727 -3.210 -6.786 
2016 08 12 05 21 48.5 4.957 -4.520 -7.331 
2016 08 12 05 41 48.5 2.151 -4.357 -5.587 
2016 08 12 06 01 48.5 -0.145 -3.145 -3.469 
2016 08 12 06 21 48.5 -2.757 2.676 -0.486 
2016 08 12 06 41 48.5 -2.987 3.201 0.039 
2016 08 12 07 01 48.5 -3.191 2.645 -0.518 
2016 08 12 07 21 48.5 -3.353 2.642 -0.520 
2016 08 12 07 41 48.5 -3.094 3.290 0.127 
2016 08 12 08 01 48.5 -3.425 2.504 -0.658 
2016 08 12 08 21 48.5 -3.476 2.387 -0.775 
2016 08 12 08 41 48.5 -3.443 2.196 -0.967 
2016 08 12 09 01 48.5 -3.454 3.151 -0.011 
2016 08 12 09 21 48.5 -3.297 3.438 0.276 
2016 08 12 09 41 48.5 -3.734 2.185 -0.978 
2016 08 12 10 01 48.5 -2.534 2.675 -0.487 
2016 08 12 10 21 48.5 -3.404 2.790 -0.372 
2016 08 12 10 41 48.5 -3.107 3.021 -0.141 
2016 08 12 11 01 48.5 -2.782 2.307 -0.855 
2016 08 12 11 21 48.5 -2.755 3.852 0.689 
2016 08 12 11 41 48.5 -2.165 2.039 -1.123 
2016 08 12 12 01 48.5 -2.696 2.885 -0.278 
2016 08 12 12 21 48.5 -3.360 3.088 -0.075 
2016 08 12 12 41 48.5 -2.009 3.533 0.371 
2016 08 12 13 01 48.5 -2.849 3.727 0.565 
2016 08 12 13 21 48.5 -3.068 2.261 -0.901 
2016 08 12 13 41 48.5 -1.733 2.341 -0.821 
